"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"YIL100C-A",2.77572247794491,-0.633049282567376,1.93864395287785,-0.326542314088998,0.74401408018235,NA
"YIL124W",1097.95823381352,-0.324220070080998,0.115312109644806,-2.81167408245056,0.00492844134733191,0.0336576482256813
"YIL042C",255.7905605669,-0.187900732908567,0.23257032843477,-0.807930806019685,0.419130416048582,0.672886026035797
"YIL115C",3510.19742797939,0.109893904379311,0.0809268021206067,1.35794201055337,0.174482085562408,0.411407307949532
"YIL035C",535.043525948034,0.302947482465197,0.174966653141618,1.73145840664844,0.0833700371694866,0.261846443157109
"YIL176C",0,NA,NA,NA,NA,NA
"YIL006W",319.348228880307,-0.109481051695367,0.217412935618866,-0.503562731369821,0.614568687450205,0.813984939388412
"YIL048W",1982.28622116268,-0.132425309842417,0.0944085126119695,-1.40268399722281,0.160711091394331,0.391110015370012
"YIL066C",287.374177504551,0.12452094502908,0.210680880663149,0.591040556870333,0.554493246936877,0.771277243628046
"YIR029W",82.6190949127348,0.581327800136039,0.414502058928266,1.40247264787808,0.160774152746744,0.391110015370012
"YIR018C-A",41.1982474371226,-0.0210624608186393,0.537843336546759,-0.0391609589399611,0.968762059996574,NA
"YIL094C",2421.22643046344,0.302609514263803,0.0863986041996317,3.50248151653697,0.000460945763772678,0.00470181471243534
"YIL103W",538.391970674728,0.0780682726961366,0.173033236127043,0.451175013792253,0.651863416418406,0.836016723849725
"YIL155C",720.97748978881,0.336992227966433,0.138745082890018,2.42885888960522,0.0151464261426606,0.0799434367567386
"YIL152W",128.541709401994,0.410351813753969,0.306663781426205,1.33811633002613,0.180858518255071,0.420077852438158
"YIL046W-A",12.8110004535674,1.68231108400838,1.10621392859769,1.52078277132253,0.128314359301562,NA
"YIL002C",647.974051432267,0.0319764756745045,0.142157710058916,0.224936626098241,0.822028575807022,0.93009929740977
"YIR030W-A",11.7516761421001,-0.0817568815000799,1.01479336851445,-0.0805650529819319,0.935787859507694,NA
"YIL047C-A",1.27893423210954,2.54208430061625,3.08014121187891,0.825314206638454,0.409193228304926,NA
"YIL156W",617.278916882009,-0.00154960453091776,0.146177054467401,-0.0106008739645478,0.991541884751392,0.997072236161054
"YIR012W",3549.81690316657,-0.17352214301324,0.0813478447145068,-2.13308838878549,0.0329174761021814,0.139755774201832
"YIL112W",424.815712126066,0.455631598326594,0.183373134542313,2.48472383625781,0.0129651970885381,0.0711335405035027
"YIL025C",9.91689585324901,1.22766960981457,1.18610991260855,1.03503865599995,0.300650858806122,NA
"YIL175W",0,NA,NA,NA,NA,NA
"YIL100W",0.820895529367043,1.9075356725705,3.72212923754518,0.512485072610902,0.608311564874103,NA
"YIR026C",846.142027387136,0.0312464797074966,0.129298497144071,0.241661584609759,0.809042398396022,0.92266254316684
